Municipality,Beach,Beach Type,posting_reason_08_01,posting_reason_08_02,posting_reason_08_03,posting_reason_08_04,posting_reason_08_07,posting_reason_08_08,posting_reason_08_09,posting_reason_08_10,posting_reason_08_11,posting_reason_08_14,posting_reason_08_15,posting_reason_08_16,posting_reason_08_17,posting_reason_08_18,posting_reason_08_21,posting_reason_08_22,posting_reason_08_23,posting_reason_08_24,posting_reason_08_25,posting_reason_08_28,posting_reason_08_29,posting_reason_08_30,posting_reason_08_31,posting_reason_09_01
Agawam,Robinson Pond Beach (DCR),Freshwater,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance
Aquinnah,Red Beach,Marine,,,,,,,,,,,,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,,,,,,,,,,
Ashby,Damon Pond Beach (DCR),Freshwater,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance
Ashland,Hopkinton Reservoir-Main Beach (DCR),Freshwater,,,,,,,,,,,,,Bacterial Exceedance,Bacterial Exceedance,,,,,,,,,,
Ashland,Ashland Reservoir-Main Beach (DCR),Freshwater,,,,,,,,,,,,,Bacterial Exceedance,Bacterial Exceedance,,,,,,,,,,
Ashland,Hopkinton Reservoir-Upper Beach (DCR),Freshwater,,,,,,,,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,,,,,,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance
Ashland,Ashland Reservoir - Main Beach (DCR),Freshwater,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,,,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance
Ashland,Hopkinton Reservoir - Upper Beach (DCR),Freshwater,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,,,,,,,,,,,,,,,,,,,,
Ashland,Hopkinton Reservoir - Main Beach (DCR),Freshwater,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,,,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance
Barnstable,Kalmus Ocean,Marine,,,,,,,,,,,,,,,,,,,,,,Bacterial Exceedance,,
Barnstable,Keyes Beach,Marine,,,,,,,,,,,,,,,,,,,,,,Bacterial Exceedance,,
Beverly,Sandy Point,Marine,,,,,,,,,,,,,,,,,,,,,,,Bacterial Exceedance,Bacterial Exceedance
Beverly,Brackenbury,Marine,,,,,,,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,,
Beverly,Rice's,Marine,,,,,,,,,,,,,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,,,,,,Bacterial Exceedance,Bacterial Exceedance
Beverly,Lynch Park,Marine,,,,,,,,,,,,,,,,,,,,,,,Bacterial Exceedance,Bacterial Exceedance
Beverly,Dane Street,Marine,,,,,,,,,,,,,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,,,,,,,
Beverly,Goat Hill,Marine,,,,,,,,,,,,,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,,,,,,,
Beverly,Independence Park,Marine,,,,,,,,,,,,,,,,,,,,,,,Bacterial Exceedance,Bacterial Exceedance
Billerica,Nutting Lake - Micozzi Beach,Freshwater,,,,,,,,,,,,,,,,Precautionary - CSO/SSO Event,Precautionary - CSO/SSO Event,Precautionary - CSO/SSO Event,Precautionary - CSO/SSO Event,Precautionary - CSO/SSO Event,Precautionary - CSO/SSO Event,Precautionary - CSO/SSO Event,Precautionary - CSO/SSO Event,Precautionary - CSO/SSO Event
Boston,Constitution (DCR),Marine,,,,,,,,,,,,,,,,,,,,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance
Boston,Savin Hill (DCR),Marine,,,,,,,,,,,,,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance
Boston,Tenean (DCR),Marine,,,,,,,,,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,,,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance
Boston,Carson Beach (DCR),Marine,,,,,,,,,,,,,,,,,,,,,,,Bacterial Exceedance,Bacterial Exceedance
Boston,Malibu (DCR),Marine,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,,,,,,,,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance
Boston,Savin Hill Beach (DCR),Marine,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,,,,,,,,,,,,
Boston,Tenean Beach (DCR),Marine,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,Bacterial Exceedance,,,,,,,,,,,,,,,,,
