Municipality,Beach,posting_reason_09_04
Amherst,Puffers Pond (AKA Factory Hollow Pond) @ Mill St.,Bacterial Exceedance
Amherst,Puffers Pond (AKA Factory Hollow Pond) @ State St.,Bacterial Exceedance
Ashby,Damon Pond Beach (DCR),Other
Ashland,Ashland Reservoir-Main Beach (DCR),Bacterial Exceedance
Bellingham,Silver Lake,Bacterial Exceedance
Boston,Constitution (DCR) @ Middle,Bacterial Exceedance
Boston,Constitution (DCR) @ North,Bacterial Exceedance
Boston,Constitution (DCR) @ Rec Center,Bacterial Exceedance
Brewster,Cliff Pond (DCR) @ DYS,Harmful Cyanobacteria Bloom
Brewster,Cliff Pond (DCR) @ Main,Harmful Cyanobacteria Bloom
Chicopee,Chicopee Beach (DCR),Harmful Cyanobacteria Bloom
Danvers,Sandy Beach (Danvers),Bacterial Exceedance
Dartmouth,Moses Smith Creek,Bacterial Exceedance
Franklin,Chilson Beach,Harmful Cyanobacteria Bloom
Holden,Eagle Lake,Bacterial Exceedance
Lanesborough,Sunrise Beach,Harmful Cyanobacteria Bloom
Lynn,Lynn Shore Beach (DCR),Bacterial Exceedance
Nahant,Nahant Beach (DCR) @ 1 (North/Ward Bathhouse),Bacterial Exceedance
Nahant,Nahant Beach (DCR) @ 2 (Parking Section 12),Bacterial Exceedance
Nahant,Nahant Beach (DCR) @ 3 (Flagpole/Halfway),Bacterial Exceedance
Nahant,Nahant Beach (DCR) @ 4 (South/Main Entrance),Bacterial Exceedance
Nantucket,Dionis,Bacterial Exceedance
Pittsfield,Pontoosuc Lake - Decom Beach,Harmful Cyanobacteria Bloom
Provincetown,Court Street,Bacterial Exceedance
Quincy,Wollaston (DCR) @ Channing Street,Bacterial Exceedance
Quincy,Wollaston (DCR) @ Milton Street,Bacterial Exceedance
Quincy,Wollaston (DCR) @ Rice Road,Bacterial Exceedance
Quincy,Wollaston (DCR) @ Sachem Street,Bacterial Exceedance
Revere,Short (DCR),Bacterial Exceedance
Salem,Juniper Point,Bacterial Exceedance
Salem,Ocean Avenue,Bacterial Exceedance
Salem,Osgood,Bacterial Exceedance
Salem,Willow Avenue,Bacterial Exceedance
Swansea,Leeside,Bacterial Exceedance
Swansea,Cedar Cove Club,Bacterial Exceedance
Tisbury,Owen Little Way,Rainfall
Tisbury,Vineyard Harbor Motel,Bacterial Exceedance
Upton,Upton Town Beach,Harmful Cyanobacteria Bloom
Wareham,East Boulevard,Bacterial Exceedance
Westfield,Hampton Ponds - Kingsley Beach (DCR),Harmful Cyanobacteria Bloom
Westfield,Hampton Ponds - Lamberts Beach (DCR),Harmful Cyanobacteria Bloom
Winchendon,Lake Dennison State Park (DCR) @ Day Use Beach,Bacterial Exceedance
Winthrop,Donovans,Bacterial Exceedance
Worcester,Indian Lake Public Beach (Sherburne Ave),Harmful Cyanobacteria Bloom
Worcester,Shore Park,Harmful Cyanobacteria Bloom
